City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vorgashor,67.5833,63.95,53.2,88,70,10.58,RU,Wed Sep 11 21:53:35 2024
1,port-aux-francais,-49.35,70.2167,38.5,86,100,41.14,TF,Wed Sep 11 21:53:35 2024
2,thompson,55.7435,-97.8558,55.56,62,20,2.3,CA,Wed Sep 11 21:52:43 2024
3,ilulissat,69.2167,-51.1,37.42,70,87,1.14,GL,Wed Sep 11 21:51:59 2024
4,merizo village,13.2658,144.6691,83.98,90,100,25.1,GU,Wed Sep 11 21:53:36 2024
5,grytviken,-54.2811,-36.5092,32.52,97,100,5.55,GS,Wed Sep 11 21:53:36 2024
6,tralee,52.2704,-9.7026,51.03,82,100,10.2,IE,Wed Sep 11 21:53:36 2024
7,vilyuysk,63.7553,121.6247,50.4,48,100,11.34,RU,Wed Sep 11 21:53:36 2024
8,pisco,-13.7,-76.2167,62.65,77,0,9.22,PE,Wed Sep 11 21:53:36 2024
9,ebon,4.582,168.6964,84.07,66,4,12.75,MH,Wed Sep 11 21:53:36 2024
10,punta arenas,-53.15,-70.9167,42.91,70,40,13.8,CL,Wed Sep 11 21:53:36 2024
11,bredasdorp,-34.5322,20.0403,58.1,91,100,3.91,ZA,Wed Sep 11 21:53:36 2024
12,brookings,44.3114,-96.7984,73.18,67,0,11.01,US,Wed Sep 11 21:53:37 2024
13,yellowknife,62.456,-114.3525,54.41,80,100,10.36,CA,Wed Sep 11 21:53:37 2024
14,raholt,60.2667,11.1833,46.47,88,75,9.22,NO,Wed Sep 11 21:53:37 2024
15,gereida,11.2811,25.1414,77.61,76,98,6.64,SD,Wed Sep 11 21:53:37 2024
16,boa vista,2.8197,-60.6733,87.78,58,20,4.61,BR,Wed Sep 11 21:53:37 2024
17,margaret river,-33.95,115.0667,65.88,44,69,3.47,AU,Wed Sep 11 21:53:37 2024
18,bridgewater,44.3835,-64.5155,52.63,90,2,4.76,CA,Wed Sep 11 21:46:07 2024
19,kodiak,57.79,-152.4072,51.31,100,100,10.36,US,Wed Sep 11 21:53:37 2024
20,bethel,41.3712,-73.414,62.94,84,0,4.61,US,Wed Sep 11 21:53:37 2024
21,longyearbyen,78.2186,15.6401,33.64,69,75,25.32,SJ,Wed Sep 11 21:53:38 2024
22,edinburgh of the seven seas,-37.0676,-12.3116,52.88,75,93,6.51,SH,Wed Sep 11 21:53:38 2024
23,vila velha,-20.3297,-40.2925,75.15,85,20,10.0,BR,Wed Sep 11 21:51:02 2024
24,remire-montjoly,4.9167,-52.2667,80.64,83,0,3.44,GF,Wed Sep 11 21:53:38 2024
25,gewane,10.1664,40.6453,80.78,56,35,1.36,ET,Wed Sep 11 21:53:38 2024
26,puerto natales,-51.7236,-72.4875,40.15,83,82,7.14,CL,Wed Sep 11 21:53:38 2024
